iso,year,rank_eci,growth_proj_annual_2024,rank_growth,name
SLV,2006,66,3.07,69,El Salvador
CRI,2006,55,3.07,71,Costa Rica
BRA,2006,41,4.33,28,Brazil
ZAF,2006,44,3.62,43,South Africa
IDN,2006,54,5.14,10,Indonesia
LBN,2006,46,3.99,33,Lebanon
VNM,2006,80,4.41,26,Vietnam
MDA,2006,57,2.88,83,Moldova
MUS,2006,74,1.89,113,Mauritius
EGY,2006,69,4.89,16,Egypt
GEO,2006,52,2.22,104,Georgia
COL,2006,50,3.89,35,Colombia
ARG,2006,53,3.43,48,Argentina
DOM,2006,65,3.29,56,Dominican Republic
ARE,2006,70,1.88,114,United Arab Emirates
MKD,2006,63,2.43,99,Macedonia
JAM,2006,64,1.82,115,Jamaica
CHL,2006,61,2.13,108,Chile
GTM,2006,68,5.32,9,Guatemala
LKA,2006,84,3.4,50,Sri Lanka
OMN,2006,72,2.09,110,Oman
KWT,2006,82,1.52,118,Kuwait
SAU,2006,60,2.7,89,Saudi Arabia
HND,2006,89,3.98,34,Honduras
SEN,2006,75,5.97,6,Senegal
PRY,2006,85,3.75,39,Paraguay
MAR,2006,81,3.2,64,Morocco
CUB,2006,76,1.29,119,Cuba
KAZ,2006,67,2.73,86,Kazakhstan
AUS,2006,58,2.11,109,Australia
KHM,2006,109,3.21,62,Cambodia
ALB,2006,79,2.25,103,Albania
ZMB,2006,108,4.99,14,Zambia
KGZ,2006,71,5.1,11,Kyrgyzstan
UZB,2006,87,3.76,38,Uzbekistan
KEN,2006,78,6.67,2,Kenya
CMR,2006,119,2.94,80,Cameroon
TTO,2006,59,0.89,122,Trinidad and Tobago
PAK,2006,92,4.83,19,Pakistan
QAT,2006,62,1.72,116,Qatar
PER,2006,90,2.64,95,Peru
NAM,2006,83,2.95,79,Namibia
BWA,2006,98,1.21,121,Botswana
ZWE,2006,77,5.48,8,Zimbabwe
NIC,2006,97,3.01,76,Nicaragua
UGA,2006,94,6.35,3,Uganda
CIV,2006,106,4.01,32,Ivory Coast
IRN,2006,86,2.39,100,Iran
BGD,2006,113,3.24,58,Bangladesh
MDG,2006,105,5.72,7,Madagascar
TZA,2006,103,6.34,4,Tanzania
TKM,2006,115,2.01,112,Turkmenistan
ECU,2006,95,2.19,105,Ecuador
VEN,2006,73,2.47,97,Venezuela
TJK,2006,112,3.71,40,Tajikistan
MOZ,2006,104,4.84,18,Mozambique
BOL,2006,96,3.36,54,Bolivia
LAO,2006,107,3.42,49,Laos
GAB,2006,100,2.09,111,Gabon
AZE,2006,99,2.18,106,Azerbaijan
ETH,2006,114,4.86,17,Ethiopia
DZA,2006,91,2.31,102,Algeria
GHA,2006,101,4.53,23,Ghana
MNG,2006,102,3.07,72,Mongolia
MWI,2006,110,6.08,5,Malawi
PNG,2006,120,3.06,73,Papua New Guinea
COG,2006,118,2.72,87,Republic of the Congo
MLI,2006,111,5.08,13,Mali
LBY,2006,93,1.25,120,Libya
MRT,2006,121,3.04,74,Mauritania
YEM,2006,116,4.32,29,Yemen
GIN,2006,117,4.46,24,Guinea
NGA,2006,123,3.35,55,Nigeria
AGO,2006,122,2.89,82,Angola
JPN,2007,1,3.13,68,Japan
DEU,2007,2,0.23,123,Germany
CHE,2007,3,3.1,70,Switzerland
KOR,2007,9,3.6,45,South Korea
SWE,2007,4,3.14,67,Sweden
AUT,2007,6,2.03,104,Austria
CZE,2007,8,2.94,79,Czech Republic
FIN,2007,5,3.39,52,Finland
HUN,2007,12,3.4,51,Hungary
GBR,2007,7,3.23,61,United Kingdom
SVN,2007,11,3.18,63,Slovenia
SVK,2007,14,3.47,48,Slovakia
USA,2007,10,2.31,100,United States
ITA,2007,15,1.85,113,Italy
IRL,2007,19,2.73,84,Ireland
FRA,2007,13,2.46,97,France
CHN,2007,30,4.89,19,China
DNK,2007,16,2.59,89,Denmark
BEL,2007,17,2.65,87,Belgium
MEX,2007,18,4.51,24,Mexico
ISR,2007,24,4.15,33,Israel
NLD,2007,22,2.53,91,Netherlands
EST,2007,28,3.02,74,Estonia
THA,2007,33,4.4,27,Thailand
POL,2007,21,3.37,54,Poland
MYS,2007,36,4.5,25,Malaysia
ESP,2007,23,3.14,65,Spain
BLR,2007,20,3.76,41,Belarus
HRV,2007,25,3.0,75,Croatia
NOR,2007,27,1.72,114,Norway
LTU,2007,35,2.91,80,Lithuania
LVA,2007,31,2.89,81,Latvia
PRT,2007,34,2.74,82,Portugal
